Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/10/16 02:00 PM	8.3	0.025	0.027	-0.232	0.107
05/10/16 04:00 PM	8.7	0.030	0.020	* * * 	0.106
05/10/16 06:00 PM	6.0	0.030	0.026	* * * 	0.111
05/10/16 08:00 PM	4.3	0.029	0.059	* * * 	0.113
05/10/16 10:00 PM	2.9	0.026	0.057	* * * 	0.114
05/11/16 12:00 AM	2.1	0.026	0.056	* * * 	0.114
05/11/16 02:00 AM	0.3	0.025	0.055	* * * 	0.114
05/11/16 04:00 AM	-1.9	0.024	0.055	* * * 	0.114
05/11/16 06:00 AM	-3.4	0.023	0.055	* * * 	0.112
05/11/16 08:00 AM	-0.8	0.023	0.055	* * * 	0.112
05/11/16 10:00 AM	7.9	0.025	0.057	* * * 	0.114
05/11/16 12:00 PM	11.4	0.031	0.060	* * * 	0.114
05/11/16 02:00 PM	13.8	0.036	0.063	* * * 	0.114
05/11/16 04:00 PM	15.1	0.039	0.066	* * * 	0.114
05/11/16 06:00 PM	14.5	0.039	0.067	* * * 	0.115
05/11/16 08:00 PM	13.6	0.038	0.067	* * * 	0.116
05/11/16 10:00 PM	5.7	0.034	0.063	* * * 	0.115
05/12/16 12:00 AM	0.1	0.031	0.060	* * * 	0.115
05/12/16 02:00 AM	-0.2	0.029	0.059	* * * 	0.114
05/12/16 04:00 AM	-1.4	0.028	0.058	* * * 	0.113
05/12/16 06:00 AM	-1.2	0.027	0.058	* * * 	0.113
05/12/16 08:00 AM	2.2	0.027	0.058	* * * 	0.113
05/12/16 10:00 AM	11.5	0.029	0.060	* * * 	0.113
05/12/16 12:00 PM	14.4	0.034	0.063	* * * 	0.112
05/12/16 02:00 PM	17.5	0.039	0.066	* * * 	0.112
05/12/16 04:00 PM	20.4	0.042	0.070	* * * 	0.112
05/12/16 06:00 PM	21.0	0.042	0.072	* * * 	0.112
05/12/16 08:00 PM	19.7	0.040	0.070	* * * 	0.112
05/12/16 10:00 PM	12.3	0.038	0.066	* * * 	0.112
05/13/16 12:00 AM	4.7	0.034	0.063	* * * 	0.111
05/13/16 02:00 AM	4.4	0.032	0.062	* * * 	0.111
05/13/16 04:00 AM	3.2	0.032	0.061	* * * 	0.111
05/13/16 06:00 AM	2.8	0.031	0.060	* * * 	0.111
05/13/16 08:00 AM	6.1	0.031	0.060	* * * 	0.111
05/13/16 10:00 AM	11.8	0.032	0.062	* * * 	0.111
05/13/16 12:00 PM	17.7	0.037	0.065	* * * 	0.111
05/13/16 02:00 PM	22.8	0.041	0.069	* * * 	0.111
05/13/16 04:00 PM	23.2	0.041	0.072	* * * 	0.110
05/13/16 06:00 PM	23.8	0.038	0.072	* * * 	0.111
05/13/16 08:00 PM	20.6	0.038	0.071	* * * 	0.111
05/13/16 10:00 PM	13.9	0.035	0.067	* * * 	0.111
05/14/16 12:00 AM	10.1	0.032	0.065	* * * 	0.111
05/14/16 02:00 AM	7.3	0.033	0.063	* * * 	0.111
05/14/16 04:00 AM	5.6	0.032	0.062	* * * 	0.110
05/14/16 06:00 AM	5.4	0.031	0.061	* * * 	0.109
05/14/16 08:00 AM	5.7	0.030	0.061	* * * 	0.109
05/14/16 10:00 AM	9.6	0.032	0.062	* * * 	0.109
05/14/16 12:00 PM	12.9	0.034	0.064	* * * 	0.108
05/14/16 02:00 PM	19.3	0.038	0.067	* * * 	0.108
05/14/16 04:00 PM	21.8	0.039	0.070	* * * 	0.108
05/14/16 06:00 PM	19.4	0.038	0.069	* * * 	0.109
05/14/16 08:00 PM	15.4	0.035	0.067	* * * 	0.109
