1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1D00000027BC7A21
Is Mission Active?  true
Mission Start:  Fri Nov 14 15:08:00 MST 2014
Sample Rate:  Every 180 minute(s)
Number of Mission Samples:  5769
Total Samples:  67965
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Nov 06 00:00:00 MDT 2016
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/14/14 3:08:00 PM,C,27.5
11/14/14 6:08:00 PM,C,22
11/14/14 9:08:00 PM,C,21
11/15/14 12:08:00 AM,C,19.5
11/15/14 3:08:00 AM,C,19.5
11/15/14 6:08:00 AM,C,19
11/15/14 9:08:00 AM,C,19
11/15/14 12:08:00 PM,C,21
11/15/14 3:08:00 PM,C,21
11/15/14 6:08:00 PM,C,20.5
11/15/14 9:08:00 PM,C,21.5
11/16/14 12:08:00 AM,C,21.5
11/16/14 3:08:00 AM,C,20.5
11/16/14 6:08:00 AM,C,20
11/16/14 9:08:00 AM,C,20
11/16/14 12:08:00 PM,C,21.5
11/16/14 3:08:00 PM,C,13
11/16/14 6:08:00 PM,C,-1
11/16/14 9:08:00 PM,C,-11
11/17/14 12:08:00 AM,C,-12
11/17/14 3:08:00 AM,C,-12
11/17/14 6:08:00 AM,C,-12.5
11/17/14 9:08:00 AM,C,-14
11/17/14 12:08:00 PM,C,-5.5
11/17/14 3:08:00 PM,C,1.5
11/17/14 6:08:00 PM,C,-12
11/17/14 9:08:00 PM,C,-14
11/18/14 12:08:00 AM,C,-14.5
11/18/14 3:08:00 AM,C,-15.5
11/18/14 6:08:00 AM,C,-15
11/18/14 9:08:00 AM,C,-7
11/18/14 12:08:00 PM,C,2.5
11/18/14 3:08:00 PM,C,2.5
11/18/14 6:08:00 PM,C,-6
11/18/14 9:08:00 PM,C,-6
11/19/14 12:08:00 AM,C,-6.5
11/19/14 3:08:00 AM,C,-6
11/19/14 6:08:00 AM,C,-5.5
11/19/14 9:08:00 AM,C,-2
11/19/14 12:08:00 PM,C,3
11/19/14 3:08:00 PM,C,2.5
11/19/14 6:08:00 PM,C,-2.5
11/19/14 9:08:00 PM,C,-3
11/20/14 12:08:00 AM,C,-3
11/20/14 3:08:00 AM,C,-4
11/20/14 6:08:00 AM,C,-5.5
11/20/14 9:08:00 AM,C,-1
11/20/14 12:08:00 PM,C,6
11/20/14 3:08:00 PM,C,5
11/20/14 6:08:00 PM,C,7
11/20/14 9:08:00 PM,C,18
11/21/14 12:08:00 AM,C,20
11/21/14 3:08:00 AM,C,20
11/21/14 6:08:00 AM,C,20
11/21/14 9:08:00 AM,C,20
11/21/14 12:08:00 PM,C,21
11/21/14 3:08:00 PM,C,22
11/21/14 6:08:00 PM,C,22
11/21/14 9:08:00 PM,C,21
11/22/14 12:08:00 AM,C,21
11/22/14 3:08:00 AM,C,21
11/22/14 6:08:00 AM,C,21
11/22/14 9:08:00 AM,C,21
11/22/14 12:08:00 PM,C,20.5
11/22/14 3:08:00 PM,C,21
11/22/14 6:08:00 PM,C,20.5
11/22/14 9:08:00 PM,C,20.5
11/23/14 12:08:00 AM,C,20.5
11/23/14 3:08:00 AM,C,20.5
11/23/14 6:08:00 AM,C,20
11/23/14 9:08:00 AM,C,20.5
