1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 5F00000027CDB621
Is Mission Active?  true
Mission Start:  Mon May 09 10:40:00 MDT 2016
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1076
Total Samples:  56909
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  Clock
Next Clock Alarm At:  Sun Nov 06 00:00:00 MDT 2016
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/9/16 10:40:00 AM,C,26
5/9/16 2:40:00 PM,C,20.5
5/9/16 6:40:00 PM,C,24.5
5/9/16 10:40:00 PM,C,19.5
5/10/16 2:40:00 AM,C,7.5
5/10/16 6:40:00 AM,C,3.5
5/10/16 10:40:00 AM,C,11.5
5/10/16 2:40:00 PM,C,13.5
5/10/16 6:40:00 PM,C,3.5
5/10/16 10:40:00 PM,C,1.5
5/11/16 2:40:00 AM,C,-2
5/11/16 6:40:00 AM,C,2
5/11/16 10:40:00 AM,C,11.5
5/11/16 2:40:00 PM,C,20
5/11/16 6:40:00 PM,C,12.5
5/11/16 10:40:00 PM,C,0
5/12/16 2:40:00 AM,C,-2.5
5/12/16 6:40:00 AM,C,6.5
5/12/16 10:40:00 AM,C,16.5
5/12/16 2:40:00 PM,C,23
5/12/16 6:40:00 PM,C,18.5
5/12/16 10:40:00 PM,C,4
5/13/16 2:40:00 AM,C,2
5/13/16 6:40:00 AM,C,8
5/13/16 10:40:00 AM,C,19
5/13/16 2:40:00 PM,C,23
5/13/16 6:40:00 PM,C,17.5
5/13/16 10:40:00 PM,C,8.5
5/14/16 2:40:00 AM,C,5
5/14/16 6:40:00 AM,C,6.5
5/14/16 10:40:00 AM,C,15.5
5/14/16 2:40:00 PM,C,20.5
5/14/16 6:40:00 PM,C,13.5
5/14/16 10:40:00 PM,C,8.5
5/15/16 2:40:00 AM,C,5
5/15/16 6:40:00 AM,C,5
5/15/16 10:40:00 AM,C,9
5/15/16 2:40:00 PM,C,10.5
5/15/16 6:40:00 PM,C,9.5
5/15/16 10:40:00 PM,C,6
5/16/16 2:40:00 AM,C,4.5
5/16/16 6:40:00 AM,C,6.5
5/16/16 10:40:00 AM,C,13.5
5/16/16 2:40:00 PM,C,13.5
5/16/16 6:40:00 PM,C,13.5
5/16/16 10:40:00 PM,C,8
5/17/16 2:40:00 AM,C,7.5
5/17/16 6:40:00 AM,C,12
5/17/16 10:40:00 AM,C,16.5
5/17/16 2:40:00 PM,C,17.5
5/17/16 6:40:00 PM,C,12.5
5/17/16 10:40:00 PM,C,6
5/18/16 2:40:00 AM,C,5
5/18/16 6:40:00 AM,C,12
5/18/16 10:40:00 AM,C,22.5
5/18/16 2:40:00 PM,C,26.5
5/18/16 6:40:00 PM,C,16.5
5/18/16 10:40:00 PM,C,7.5
5/19/16 2:40:00 AM,C,5.5
5/19/16 6:40:00 AM,C,10.5
5/19/16 10:40:00 AM,C,14.5
5/19/16 2:40:00 PM,C,15
5/19/16 6:40:00 PM,C,7
5/19/16 10:40:00 PM,C,3
5/20/16 2:40:00 AM,C,3.5
5/20/16 6:40:00 AM,C,5
5/20/16 10:40:00 AM,C,9
5/20/16 2:40:00 PM,C,17.5
5/20/16 6:40:00 PM,C,9.5
5/20/16 10:40:00 PM,C,8
5/21/16 2:40:00 AM,C,6
5/21/16 6:40:00 AM,C,6
5/21/16 10:40:00 AM,C,5.5
5/21/16 2:40:00 PM,C,10
5/21/16 6:40:00 PM,C,9
5/21/16 10:40:00 PM,C,-1.5
5/22/16 2:40:00 AM,C,-2
5/22/16 6:40:00 AM,C,4
5/22/16 10:40:00 AM,C,12
5/22/16 2:40:00 PM,C,15.5
5/22/16 6:40:00 PM,C,11.5
5/22/16 10:40:00 PM,C,3
5/23/16 2:40:00 AM,C,2
5/23/16 6:40:00 AM,C,3.5
5/23/16 10:40:00 AM,C,14.5
5/23/16 2:40:00 PM,C,16.5
5/23/16 6:40:00 PM,C,14.5
5/23/16 10:40:00 PM,C,3
5/24/16 2:40:00 AM,C,0
5/24/16 6:40:00 AM,C,6.5
5/24/16 10:40:00 AM,C,19.5
5/24/16 2:40:00 PM,C,19.5
5/24/16 6:40:00 PM,C,12
5/24/16 10:40:00 PM,C,6
5/25/16 2:40:00 AM,C,4.5
5/25/16 6:40:00 AM,C,6.5
5/25/16 10:40:00 AM,C,12
5/25/16 2:40:00 PM,C,17
5/25/16 6:40:00 PM,C,13
5/25/16 10:40:00 PM,C,5.5
5/26/16 2:40:00 AM,C,2
5/26/16 6:40:00 AM,C,9.5
5/26/16 10:40:00 AM,C,19.5
5/26/16 2:40:00 PM,C,19
5/26/16 6:40:00 PM,C,12.5
5/26/16 10:40:00 PM,C,5.5
5/27/16 2:40:00 AM,C,6.5
5/27/16 6:40:00 AM,C,12
5/27/16 10:40:00 AM,C,18
5/27/16 2:40:00 PM,C,12.5
5/27/16 6:40:00 PM,C,10
