1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 8700000034456521
Is Mission Active?  false
Mission Start:  Fri May 08 11:30:00 MDT 2015
Sample Rate:  Every 120 minute(s)
Number of Mission Samples:  2200
Total Samples:  3599
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/8/15 11:30:00 AM,C,25.5
5/8/15 1:30:00 PM,C,25.5
5/8/15 3:30:00 PM,C,24.5
5/8/15 5:30:00 PM,C,24
5/8/15 7:30:00 PM,C,24
5/8/15 9:30:00 PM,C,24
5/8/15 11:30:00 PM,C,24
5/9/15 1:30:00 AM,C,24
5/9/15 3:30:00 AM,C,24
5/9/15 5:30:00 AM,C,23.5
5/9/15 7:30:00 AM,C,24
5/9/15 9:30:00 AM,C,24.5
5/9/15 11:30:00 AM,C,24.5
5/9/15 1:30:00 PM,C,24.5
5/9/15 3:30:00 PM,C,24.5
5/9/15 5:30:00 PM,C,24.5
5/9/15 7:30:00 PM,C,24
5/9/15 9:30:00 PM,C,24
5/9/15 11:30:00 PM,C,24
5/10/15 1:30:00 AM,C,24
5/10/15 3:30:00 AM,C,24
5/10/15 5:30:00 AM,C,24
5/10/15 7:30:00 AM,C,24
5/10/15 9:30:00 AM,C,24
5/10/15 11:30:00 AM,C,23.5
5/10/15 1:30:00 PM,C,23.5
5/10/15 3:30:00 PM,C,23.5
5/10/15 5:30:00 PM,C,24
5/10/15 7:30:00 PM,C,24
5/10/15 9:30:00 PM,C,24
5/10/15 11:30:00 PM,C,24
5/11/15 1:30:00 AM,C,24
5/11/15 3:30:00 AM,C,24
5/11/15 5:30:00 AM,C,24.5
5/11/15 7:30:00 AM,C,24.5
5/11/15 9:30:00 AM,C,24
5/11/15 11:30:00 AM,C,24
5/11/15 1:30:00 PM,C,24
5/11/15 3:30:00 PM,C,24
5/11/15 5:30:00 PM,C,24
5/11/15 7:30:00 PM,C,24
5/11/15 9:30:00 PM,C,24
5/11/15 11:30:00 PM,C,24.5
5/12/15 1:30:00 AM,C,24.5
5/12/15 3:30:00 AM,C,24.5
5/12/15 5:30:00 AM,C,24.5
5/12/15 7:30:00 AM,C,24
5/12/15 9:30:00 AM,C,24
5/12/15 11:30:00 AM,C,24
5/12/15 1:30:00 PM,C,24
5/12/15 3:30:00 PM,C,24
5/12/15 5:30:00 PM,C,23.5
5/12/15 7:30:00 PM,C,22.5
5/12/15 9:30:00 PM,C,24.5
5/12/15 11:30:00 PM,C,24.5
5/13/15 1:30:00 AM,C,24.5
5/13/15 3:30:00 AM,C,25
5/13/15 5:30:00 AM,C,24.5
5/13/15 7:30:00 AM,C,24
5/13/15 9:30:00 AM,C,23.5
5/13/15 11:30:00 AM,C,23.5
5/13/15 1:30:00 PM,C,24
5/13/15 3:30:00 PM,C,24
5/13/15 5:30:00 PM,C,24
5/13/15 7:30:00 PM,C,24
5/13/15 9:30:00 PM,C,23.5
5/13/15 11:30:00 PM,C,23.5
5/14/15 1:30:00 AM,C,24
5/14/15 3:30:00 AM,C,24
5/14/15 5:30:00 AM,C,24
5/14/15 7:30:00 AM,C,23.5
5/14/15 9:30:00 AM,C,24
5/14/15 11:30:00 AM,C,24.5
5/14/15 1:30:00 PM,C,24.5
5/14/15 3:30:00 PM,C,24
5/14/15 5:30:00 PM,C,24
5/14/15 7:30:00 PM,C,24
5/14/15 9:30:00 PM,C,23.5
5/14/15 11:30:00 PM,C,23.5
5/15/15 1:30:00 AM,C,24
5/15/15 3:30:00 AM,C,23.5
5/15/15 5:30:00 AM,C,24
5/15/15 7:30:00 AM,C,24.5
5/15/15 9:30:00 AM,C,25
5/15/15 11:30:00 AM,C,24.5
5/15/15 1:30:00 PM,C,24
5/15/15 3:30:00 PM,C,24
5/15/15 5:30:00 PM,C,24
5/15/15 7:30:00 PM,C,24
5/15/15 9:30:00 PM,C,24
5/15/15 11:30:00 PM,C,23.5
5/16/15 1:30:00 AM,C,23
5/16/15 3:30:00 AM,C,22.5
