1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F5000000344C4421
Is Mission Active?  false
Mission Start:  Fri Nov 14 14:58:00 MST 2014
Sample Rate:  Every 180 minute(s)
Number of Mission Samples:  4335
Total Samples:  4335
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
11/14/14 2:58:00 PM,C,27
11/14/14 5:58:00 PM,C,22
11/14/14 8:58:00 PM,C,21
11/14/14 11:58:00 PM,C,19.5
11/15/14 2:58:00 AM,C,19.5
11/15/14 5:58:00 AM,C,19
11/15/14 8:58:00 AM,C,19
11/15/14 11:58:00 AM,C,21
11/15/14 2:58:00 PM,C,21
11/15/14 5:58:00 PM,C,21
11/15/14 8:58:00 PM,C,21.5
11/15/14 11:58:00 PM,C,21.5
11/16/14 2:58:00 AM,C,21
11/16/14 5:58:00 AM,C,20
11/16/14 8:58:00 AM,C,20
11/16/14 11:58:00 AM,C,21
11/16/14 2:58:00 PM,C,13.5
11/16/14 5:58:00 PM,C,0.5
11/16/14 8:58:00 PM,C,-10
11/16/14 11:58:00 PM,C,-11.5
11/17/14 2:58:00 AM,C,-12
11/17/14 5:58:00 AM,C,-12
11/17/14 8:58:00 AM,C,-13.5
11/17/14 11:58:00 AM,C,-6.5
11/17/14 2:58:00 PM,C,2.5
11/17/14 5:58:00 PM,C,-11.5
11/17/14 8:58:00 PM,C,-13.5
11/17/14 11:58:00 PM,C,-14.5
11/18/14 2:58:00 AM,C,-15
11/18/14 5:58:00 AM,C,-15
11/18/14 8:58:00 AM,C,-10
11/18/14 11:58:00 AM,C,2
11/18/14 2:58:00 PM,C,4.5
11/18/14 5:58:00 PM,C,-5.5
11/18/14 8:58:00 PM,C,-6
11/18/14 11:58:00 PM,C,-6.5
11/19/14 2:58:00 AM,C,-6
11/19/14 5:58:00 AM,C,-5.5
11/19/14 8:58:00 AM,C,-3.5
11/19/14 11:58:00 AM,C,2
11/19/14 2:58:00 PM,C,4
11/19/14 5:58:00 PM,C,-2.5
11/19/14 8:58:00 PM,C,-3
11/19/14 11:58:00 PM,C,-3
11/20/14 2:58:00 AM,C,-4
11/20/14 5:58:00 AM,C,-5.5
11/20/14 8:58:00 AM,C,-2.5
11/20/14 11:58:00 AM,C,5.5
11/20/14 2:58:00 PM,C,5.5
11/20/14 5:58:00 PM,C,6
