plot,ibutton,start_date,end_date
1,,2016-04-22,2016-10-22
2,,2016-04-22,2016-10-22
1_2_C,,2016-04-22,2016-10-22
11,34414621,2016-04-22,2016-10-22
12,3449AE21,2016-04-22,2016-10-22
11_12_C,344C6721,2016-04-22,2016-10-22
19,34428521,2016-04-22,2016-10-22
20,344C4421,2016-04-22,2016-10-22
19_20_C,,2016-04-22,2016-10-22
7,34490F21,2016-04-22,2016-10-22
8,34433221,2016-04-22,2016-10-22
7_8_C,,2016-04-22,2016-10-22
15,,2016-04-22,2016-10-22
16,,2016-04-22,2016-10-22
15_16_C,,2016-04-22,2016-10-22
17,344C1721,2016-04-22,2016-10-22
18,27BC7A21,2016-04-22,2016-10-22
17_18_C,,2016-04-22,2016-10-22
13,24CDB621,2016-04-22,2016-10-22
14,344AAF21,2016-04-22,2016-10-22
13_14_C,,2016-04-22,2016-10-22
5,34430021,2016-04-22,2016-10-22
6,34456521,2016-04-22,2016-10-22
5_6_C,,2016-04-22,2016-10-22
