1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: FF00000034428521
Is Mission Active?  true
Mission Start:  Mon May 09 11:20:00 MDT 2016
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1076
Total Samples:  6881
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
5/9/16 11:20:00 AM,C,21
5/9/16 3:20:00 PM,C,20.5
5/9/16 7:20:00 PM,C,26.5
5/9/16 11:20:00 PM,C,16.5
5/10/16 3:20:00 AM,C,6.5
5/10/16 7:20:00 AM,C,4
5/10/16 11:20:00 AM,C,12.5
5/10/16 3:20:00 PM,C,13.5
5/10/16 7:20:00 PM,C,3
5/10/16 11:20:00 PM,C,1
5/11/16 3:20:00 AM,C,-3.5
5/11/16 7:20:00 AM,C,8.5
5/11/16 11:20:00 AM,C,16
5/11/16 3:20:00 PM,C,14
5/11/16 7:20:00 PM,C,8
5/11/16 11:20:00 PM,C,-0.5
5/12/16 3:20:00 AM,C,-1.5
5/12/16 7:20:00 AM,C,13.5
5/12/16 11:20:00 AM,C,18.5
5/12/16 3:20:00 PM,C,22
5/12/16 7:20:00 PM,C,15
5/12/16 11:20:00 PM,C,3
5/13/16 3:20:00 AM,C,2
5/13/16 7:20:00 AM,C,11
5/13/16 11:20:00 AM,C,22.5
5/13/16 3:20:00 PM,C,21.5
5/13/16 7:20:00 PM,C,15.5
5/13/16 11:20:00 PM,C,8
5/14/16 3:20:00 AM,C,6
5/14/16 7:20:00 AM,C,8.5
5/14/16 11:20:00 AM,C,17.5
5/14/16 3:20:00 PM,C,21.5
5/14/16 7:20:00 PM,C,13
5/14/16 11:20:00 PM,C,8
5/15/16 3:20:00 AM,C,6
5/15/16 7:20:00 AM,C,5
5/15/16 11:20:00 AM,C,9
5/15/16 3:20:00 PM,C,10
5/15/16 7:20:00 PM,C,7.5
5/15/16 11:20:00 PM,C,5.5
5/16/16 3:20:00 AM,C,4.5
5/16/16 7:20:00 AM,C,7
5/16/16 11:20:00 AM,C,12.5
5/16/16 3:20:00 PM,C,15.5
5/16/16 7:20:00 PM,C,11
5/16/16 11:20:00 PM,C,6.5
5/17/16 3:20:00 AM,C,7.5
5/17/16 7:20:00 AM,C,15.5
5/17/16 11:20:00 AM,C,16
5/17/16 3:20:00 PM,C,17.5
5/17/16 7:20:00 PM,C,10
5/17/16 11:20:00 PM,C,2.5
5/18/16 3:20:00 AM,C,6
5/18/16 7:20:00 AM,C,17.5
5/18/16 11:20:00 AM,C,23.5
5/18/16 3:20:00 PM,C,21
5/18/16 7:20:00 PM,C,15.5
5/18/16 11:20:00 PM,C,8
5/19/16 3:20:00 AM,C,5
5/19/16 7:20:00 AM,C,12.5
5/19/16 11:20:00 AM,C,14.5
5/19/16 3:20:00 PM,C,13.5
5/19/16 7:20:00 PM,C,7
5/19/16 11:20:00 PM,C,3.5
5/20/16 3:20:00 AM,C,3.5
5/20/16 7:20:00 AM,C,6.5
5/20/16 11:20:00 AM,C,15
5/20/16 3:20:00 PM,C,17.5
5/20/16 7:20:00 PM,C,9
5/20/16 11:20:00 PM,C,8.5
5/21/16 3:20:00 AM,C,6.5
5/21/16 7:20:00 AM,C,6.5
5/21/16 11:20:00 AM,C,6.5
5/21/16 3:20:00 PM,C,10.5
5/21/16 7:20:00 PM,C,7.5
5/21/16 11:20:00 PM,C,-2
5/22/16 3:20:00 AM,C,-2
5/22/16 7:20:00 AM,C,8.5
5/22/16 11:20:00 AM,C,13
5/22/16 3:20:00 PM,C,14
5/22/16 7:20:00 PM,C,7
5/22/16 11:20:00 PM,C,1.5
5/23/16 3:20:00 AM,C,2
