Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/10/16 04:00 PM	8.8	0.086	0.048	0.160	0.118
05/10/16 06:00 PM	5.9	0.086	0.048	0.162	0.111
05/10/16 08:00 PM	4.3	0.086	0.048	0.159	0.161
05/10/16 10:00 PM	2.9	0.086	0.048	0.157	0.168
05/11/16 12:00 AM	2.2	0.085	0.048	0.156	0.167
05/11/16 02:00 AM	0.4	0.085	0.048	0.154	0.165
05/11/16 04:00 AM	-2.3	0.085	0.048	0.153	0.163
05/11/16 06:00 AM	-3.5	0.085	0.047	0.152	0.162
05/11/16 08:00 AM	-0.5	0.085	0.048	0.151	0.162
05/11/16 10:00 AM	8.1	0.085	0.048	0.151	0.163
05/11/16 12:00 PM	11.2	0.086	0.048	0.155	0.174
05/11/16 02:00 PM	13.2	0.086	0.048	0.160	0.179
05/11/16 04:00 PM	14.4	0.086	0.048	0.165	0.182
05/11/16 06:00 PM	14.1	0.086	0.049	0.165	0.177
05/11/16 08:00 PM	13.4	0.086	0.049	0.162	0.170
05/11/16 10:00 PM	4.4	0.086	0.048	0.156	0.165
05/12/16 12:00 AM	-0.5	0.086	0.048	0.153	0.161
05/12/16 02:00 AM	-0.5	0.085	0.047	0.151	0.158
05/12/16 04:00 AM	-1.9	0.085	0.047	0.149	0.156
05/12/16 06:00 AM	-2.4	0.085	0.047	0.147	0.155
05/12/16 08:00 AM	2.7	0.085	0.047	0.146	0.154
05/12/16 10:00 AM	11.3	0.086	0.047	0.146	0.157
05/12/16 12:00 PM	14.2	0.085	0.047	0.151	0.168
05/12/16 02:00 PM	17.4	0.085	0.047	0.156	0.174
05/12/16 04:00 PM	20.4	0.086	0.048	0.162	0.176
05/12/16 06:00 PM	21.1	0.087	0.048	0.162	0.170
05/12/16 08:00 PM	19.8	0.087	0.048	0.159	0.163
05/12/16 10:00 PM	12.3	0.087	0.048	0.154	0.157
05/13/16 12:00 AM	4.3	0.088	0.048	0.150	0.152
05/13/16 02:00 AM	3.5	0.087	0.047	0.146	0.149
05/13/16 04:00 AM	2.6	0.087	0.047	0.145	0.147
05/13/16 06:00 AM	2.7	0.086	0.046	0.143	0.145
05/13/16 08:00 AM	6.3	0.086	0.046	0.142	0.145
05/13/16 10:00 AM	11.9	0.086	0.046	0.142	0.146
