Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
05/10/16 04:00 PM	-9.9	-0.215	-0.196	-0.190	-0.222
05/10/16 08:00 PM	5.1	0.073	0.109	0.127	0.062
05/11/16 12:00 AM	2.4	0.072	0.105	0.127	0.063
05/11/16 04:00 AM	-1.6	0.069	0.101	0.126	0.063
05/11/16 08:00 AM	-2.6	0.066	0.099	0.127	0.062
05/11/16 12:00 PM	10.1	0.067	0.099	0.124	0.063
05/11/16 04:00 PM	14.9	0.072	0.101	0.124	0.064
05/11/16 08:00 PM	14.4	0.069	0.099	0.127	0.065
05/12/16 12:00 AM	1.4	0.068	0.094	0.128	0.066
05/12/16 04:00 AM	-2.0	0.065	0.092	0.128	0.066
05/12/16 08:00 AM	-0.5	0.062	0.089	0.127	0.065
05/12/16 12:00 PM	12.9	0.063	0.089	0.125	0.065
05/12/16 04:00 PM	19.4	0.067	0.091	0.125	0.065
05/12/16 08:00 PM	20.7	0.063	0.089	0.127	0.066
05/13/16 12:00 AM	7.7	0.058	0.084	0.128	0.067
05/13/16 04:00 AM	2.2	0.056	0.083	0.128	0.068
05/13/16 08:00 AM	4.1	0.054	0.081	0.128	0.068
05/13/16 12:00 PM	14.9	0.053	0.079	0.126	0.067
05/13/16 04:00 PM	23.5	0.056	0.079	0.125	0.067
05/13/16 08:00 PM	22.7	0.050	0.076	0.127	0.068
05/14/16 12:00 AM	11.8	0.046	0.072	0.128	0.070
05/14/16 04:00 AM	6.4	0.046	0.072	0.128	0.071
05/14/16 08:00 AM	5.5	0.045	0.071	0.126	0.070
05/14/16 12:00 PM	11.3	0.043	0.069	0.125	0.069
05/14/16 04:00 PM	20.8	0.043	0.066	0.123	0.069
05/14/16 08:00 PM	17.4	0.038	0.063	0.125	0.069
05/15/16 12:00 AM	10.4	0.035	0.061	0.126	0.070
05/15/16 04:00 AM	7.6	0.036	0.060	0.124	0.071
05/15/16 08:00 AM	5.6	0.039	0.049	0.108	0.074
05/15/16 12:00 PM	7.1	0.041	0.066	0.105	0.073
